"objtype","subtype","name","parent","pos_x","pos_y","pos_z","orient_x","orient_y","orient_z","orient_w","scale_x","scale_y","scale_z","hull_x","hull_y","hull_z","density","friction","bounce","colMask","colMsg","meshURI","diffuse_x","diffuse_y","diffuse_z","ambient","specular_x","specular_y","specular_z","shadowpower","range","constfall","linearfall","quadfall","cone_in","cone_out","power","cone_fall","shadow"
"camera",,,,735.23,3046.96,966.99,0,123.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"light","point",,,0,0,0,0,0,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0.18,0.03,30,40,5.6,1,1
"light","directional",,,735.23,3046.96,966.99,0,0,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.5,0,0,0,0.07,1000,1,0,0,30,40,0.5,1,1
"light","point",,,701.48,3083.31,1034.7,0,0,0,,,,,,,,,,,,,,0.51,0.2,0.2,0.2,0.74,0.25,0.25,0.09,75,1,0,0.01,30,40,1,1,1
"light","point",,,590.01,3080.17,1030.94,0,0,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0.05,0.01,30,40,1.3,1,1
"light","point",,,652.64,3077.34,1086.46,0,0,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.01,30,40,5.6,1,1
"light","point",,,655.39,3074.88,974.06,0,0,0,,,,,,,,,,,,,,1,1,1,0.2,1,0.33,0.33,0.09,75,1,0,0.01,30,40,1,1,1
"light","point",,,658.06,3072.58,1032.88,0,0,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.01,30,40,5,1,1
"light","point",,,617.55,3051.88,1063.18,0,-55,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.03,30,40,1,1,1
"light","point",,,629.5,3051.88,1069.06,0,-55,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.03,30,40,1,1,1
"light","point",,,650.14,3056.05,989.79,0,-55,0,,,,,,,,,,,,,,0.99,1,0.98,0.2,0.62,0.8,0.49,0.09,75,1,0,0.03,30,40,1,1,1
"light","point",,,654.37,3052.06,1053.24,0,-55,0,,,,,,,,,,,,,,0.63,0.56,0.56,0.28,1,1,1,0.11,75,1,0,0.02,30,40,1,1,1
"light","point",,,665.69,3052.98,1012.73,0,-55,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.03,30,40,1,1,1
"light","point",,,666.78,3051.88,997.13,0,-55,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.03,30,40,1,1,1
"light","point",,,676.3,3051.88,1046.05,0,-55,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.03,30,40,1,1,1
"light","point",,,680.11,3052.74,1042.46,0,-55,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.03,30,40,1,1,1
"light","point",,,682.12,3051.88,1022.25,0,-55,0,,,,,,,,,,,,,,0.98,0.99,0.73,0.2,0,0,0,0.07,75,1,0,0.03,30,40,1,1,1
"mesh","graphiconly","1fac664216868baca838a81a3bf6c5296a4418612a7af667087bad9b664.12",,636.66,3045.77,1055.63,0,-12.38,0,,1,1,1,1,1,1,0,0,0,0,0,"meerkat:///test/polySurface01.mesh",,,,,,,,,,,,,,,,,
